Speaker name,Category/topic tags,State,Notes
Adam Lane Smith,"Business & Leadership; Entertainment; Health & Wellbeing; Inspirational & Motivational; Negotiation; Psychology; Resilience, Wellbeing & Happiness; Social Media; Technology, Innovation & Science",USA,"Speaking fee: $15,000 | Gender: Male | Site tagline: Attachment Specialist​, Author​, Speaker & Coach"
Adam Lashinsky,"Business; Business & Leadership; Economic & Financial Affairs; Finance & Markets; Science; Technology, Innovation & Science",Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Executive editor of Fortune Magazine"
Adam Markel,"AI - Emerging Tech; Business & Leadership; Entertainment; Health & Wellbeing; Inspirational & Motivational; Keynote; Leadership; Resilience, Wellbeing & Happiness; Technology, Innovation & Science; TED; Workplace innovation",Americas > US > California,"Speaking fee: $15,000 | Gender: Male | Site tagline: Change management expert"
Adam Mendler,Business & Leadership; Entertainment; Entrepreneurs; Inspirational & Motivational; Moderators & Chairpersons,USA,"Speaking fee: $15,000 | Gender: Male | Site tagline: Leadership Expert, Entrepreneur & Podcast Host"
Adam Peaty,"Entertainment; Health & Wellbeing; Inspirational & Motivational; Keynote; Resilience, Wellbeing & Happiness; Sports & Olympics",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: British Competitive Swimmer and Multiple World & Olympic Record Holder"
Adam Posen,Finance & Markets; Keynote,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: President, Peterson Institute for International Economics"
Adam Riess,"Nobel Laureates; Science; Society, Culture & Education; Technology, Innovation & Science",Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Nobel Laureate (2011) and Thomas J. Barber Professor of Physics and Astronomy"
Adam Rutherford,"Diversity, Inclusion & Gender Equality; Entertainment; Global Health; Health & Wellbeing; Healthcare; Keynote; Society, Culture & Education; TED",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: British Professor of Genetics and Biosciences and Sunday Times bestselling author"
Adam Banks,"AI - Emerging Tech; Business & Leadership; Cyber Security; Economic & Financial Affairs; Fintech & Cryptocurrency; Health & Wellbeing; Keynote; Resilience, Wellbeing & Happiness; Technology Ethics - Regulation; Technology, Innovation & Science",Europe > UK > London,"Speaking fee: $15,000 | Gender: Male | Site tagline: Digital Transformation Expert,  Technology Governance Advisor & Cyber‑Resilience Leader"
Ade Adepitan,Entertainment; Inspirational & Motivational; Keynote; Sports & Olympics,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Paralympic Medallist & Wheelchair Basketball Player"
Aditya Gupta,Cyber Security; Entrepreneurs; Science,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Mobile and IoT Security Training Expert"
Adrian Anantawan,"History, Arts & Literary; Inspirational & Motivational; Keynote; Leadership",Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Motivational violinist"
Adrian Ballinger,"Adventure; Business & Leadership; Entertainment; Environment & Sustainability; Health & Wellbeing; Keynote; Leadership; Resilience, Wellbeing & Happiness; Sports & Olympics; Sustainability - Environment",USA,"Speaking fee: $15,000 | Gender: Male | Site tagline: High-Altitude Mountaineer, Entrepreneur & Certified Mountain Guide"
Adrian Bradshaw,"Business & Leadership; Entertainment; Geopolitics; International Affairs & Security; Keynote; Leadership; Military; Politics, Government & Global Affairs; TED",Global,"Speaking fee: $15,000 | Exclusive | Gender: Male | Site tagline: Senior NATO Commander & Defence Strategist"
Adrian Gostick,Business; Business & Leadership; Keynote; Leadership; Workplace innovation,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Best Selling Leadership Author & Organizational Culture Expert"
Adrian Hayes,Inspirational & Motivational; Keynote; Sports & Olympics,Global,"Speaking fee: $15,000 | Gender: Male | Site tagline: British record-breaking adventurer and global keynote speaker"
Adrian Joseph,"AI - Emerging Tech; Business; Business & Leadership; Diversity, Inclusion & Gender Equality; Keynote; Leadership; Society, Culture & Education; Technology, Innovation & Science",Global,"Speaking fee: $15,000 | New Speaker | Gender: Male | Site tagline: AI Leader, Former Chief Data & AI Officer at BT Group & Technology Adviser"
Adrian Pabst,Business; Government & Politics; Leadership,Europe > UK > London,"Speaking fee: $15,000 | Gender: Male | Site tagline: Renowned political theorist"
Adrian Wooldridge,"Business; Business & Leadership; Economic & Financial Affairs; Entrepreneurs; Finance & Markets; Globalization; Government & Politics; History, Arts & Literary; Politics, Government & Global Affairs; Society, Culture & Education",Europe > UK,"Speaking fee: $15,000 | Exclusive | Gender: Male | Site tagline: Global Business Columnist - Bloomberg"
Afshin Molavi,International Affairs & Security; Keynote,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Expert on Middle East & US Foreign Policy"
Afterburner Inc.,Business; Entrepreneurs; Inspirational & Motivational; Keynote; Leadership,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Experts in team building and boosting performance"
Afua Hagan,"Diversity, Inclusion & Gender Equality; Keynote",Europe > UK,"Speaking fee: $15,000 | Gender: Female | Site tagline: Achieved prominent status as a News Anch2or and Commentator for major international networks including CNN, the BBC, Sky, and CNBC"
Afua Hirsch,"Diversity, Inclusion & Gender Equality; Entertainment; International Affairs & Security; Keynote; Moderators & Chairpersons; Politics, Government & Global Affairs; Society, Culture & Education; TED",Europe > UK,"Speaking fee: $15,000 | Gender: Female | Site tagline: Social Affairs & Education Editor, Sky News"
Agnis Stibe,"Health & Wellbeing; Psychology; Science; Technology, Innovation & Science",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Expertise on Transformation and Change"
Ahmed Salah,"Business & Leadership; Diversity, Inclusion & Gender Equality; Entertainment; Government & Politics; Inspirational & Motivational; Keynote; Leadership; Politics, Government & Global Affairs; Society, Culture & Education",Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: World-renowned human rights advocate & author"
Ai Futaki,Inspirational & Motivational; Sports & Olympics; TED,Asia > Japan,"Speaking fee: $15,000 | Gender: Female | Site tagline: Double Guinness World Record-holder for the longest distances swam in one breath"
Ai-Da,"AI - Emerging Tech; Entertainment; History, Arts & Literary; Keynote; Society, Culture & Education; Technology, Innovation & Science; TED",Europe > UK,"Speaking fee: $15,000 | Gender: Female | Site tagline: World's First Ultra-realistic Robot Artist,
First Humanoid to Paint Queen Elizabeth II,
TEDx Presenter of ""The Intersection of Art and AI."""
Aidan Meller,"AI - Emerging Tech; Entertainment; Technology, Innovation & Science",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Creator of Ai-Da, the first ultra-realistic robot artist"
Aimee Connolly,"Business; Business & Leadership; Entrepreneurs; Health & Wellbeing; Leadership; Resilience, Wellbeing & Happiness; International Women's Day",Europe > Ireland,"Speaking fee: $15,000 | New Speaker | Gender: Female | Site tagline: Beauty Entrepreneur & Expert on Brand Building and Business Growth"
Aimee Mullins,Business & Leadership; Entertainment; Inspirational & Motivational; Keynote; Leadership; Sports & Olympics,Americas > US,"Speaking fee: $15,000 | Gender: Female | Site tagline: Paralympic Athlete"
Aisling Bea,"After Dinner; Comedy; Entertainment; Health & Wellbeing; Keynote; Resilience, Wellbeing & Happiness",Europe > Ireland,"Speaking fee: $15,000 | Gender: Female | Site tagline: Comedian, Actress, Producer, and Writer, Creator, Writer, Executive Producer and Star - 'This Way Up',
British Comedy Award and BAFTA Award Winner"
Aja Raden,"After Dinner; Business & Leadership; Entertainment; History, Arts & Literary; Keynote; Luxury; Society, Culture & Education",Americas > US,"Speaking fee: $15,000 | Exclusive | Gender: Female | Site tagline: Author, Jewelry & Luxury Expert, On-Camera Authority"
Ajaz Ahmed,"Business; Business & Leadership; Entrepreneurs; Keynote; Science; Technology, Innovation & Science",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Founder of the Internet company, Freeserve"
Akala,"After Dinner; Business & Leadership; Diversity, Inclusion & Gender Equality; Entertainment; Entrepreneurs; Inspirational & Motivational; Keynote; Leadership; Society, Culture & Education; TED",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Award-winning Artist, Activist, Author and Entrepreneur"
Akiko Yamanaka,International Affairs & Security; Keynote,Asia > Japan; Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Former Vice-Minister of Foreign Affairs, Japan"
Al Pittampalli,Business; Keynote; Leadership,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Leadership Expert and Best-Selling Author"
Alain Prost,After Dinner; Keynote; Sports & Olympics,Europe,"Speaking fee: $15,000 | Gender: Male | Site tagline: Four-time Formula One World Drivers' Champion"
Alain Robert,After Dinner; Inspirational & Motivational; Keynote; Sports & Olympics,Europe > France,"Speaking fee: $15,000 | Gender: Male | Site tagline: World Famous Free Solo Climber"
Alan Barratt,Business; Marketing - Communications; Sports & Olympics,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Founder and CEO of Grenade"
Alan Blinder,Finance & Markets; Keynote,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Professor of Economics and Public Affairs, Princeton University"
Alan Chambers,"After Dinner; Business & Leadership; Entertainment; Health & Wellbeing; Inspirational & Motivational; Leadership; Military; Politics, Government & Global Affairs; Resilience, Wellbeing & Happiness; Sports & Olympics",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Former Royal Marine Commando & polar adventurer"
Alan Cumming,"Comedy; Diversity, Inclusion & Gender Equality; Entertainment; History, Arts & Literary; Keynote; Society, Culture & Education; Pride",Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Tony Award-Winning Actor"
Alan Hansen,After Dinner; Inspirational & Motivational; Keynote; Moderators & Chairpersons; Sports & Olympics,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Television presenter and reporter"
Alan Levinovitz,"After Dinner; Entertainment; Global Health; Health & Wellbeing; History, Arts & Literary; Psychology; Resilience, Wellbeing & Happiness; Society, Culture & Education",Americas > US,"Speaking fee: $15,000 | Site tagline: Philosopher of 'Naturalness'"
Alan Mak,Business; Entrepreneurs; Finance & Markets; Government & Politics; Inspirational & Motivational; International Affairs & Security; Keynote; Leadership; Science,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Award-Winning Voice of Generation Y"
Alan Rosling,"Business; Business & Leadership; Economic & Financial Affairs; Energy; Entrepreneurs; Environment & Sustainability; Finance & Markets; Keynote; Science; Technology, Innovation & Science",Asia > Hong Kong; Asia > India,"Speaking fee: $15,000 | Gender: Male | Site tagline: Expert on India Business Strategy"
Alan Rusbridger,"Business & Leadership; Environment & Sustainability; Government & Politics; Marketing - Communications; Politics, Government & Global Affairs; Social Media; Society, Culture & Education; Technology Ethics - Regulation; Technology, Innovation & Science",Europe > UK; Americas > US,"Speaking fee: $15,000 | Exclusive | Gender: Male | Site tagline: Visionary Editor, Author and Media Pioneer"
Alan Stein,"Business & Leadership; Entertainment; Health & Wellbeing; Inspirational & Motivational; Leadership; Resilience, Wellbeing & Happiness; Sports & Olympics",Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Performance Coach, Author & Keynote Speaker"
Alan Sugar,Business; Entrepreneurs; Keynote,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Celebrity Businessman & Entrepreneur"
Alan Watkins,"Business & Leadership; Entertainment; Keynote; Leadership; Neuroscience; Technology, Innovation & Science; TED",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Expert on the Neuroscience of Leadership"
Alan West,"Business & Leadership; Cyber Security; Education - Policy & Practice; Geopolitics; Government & Politics; History, Arts & Literary; International Affairs & Security; Leadership; Military; Politics, Government & Global Affairs; Society, Culture & Education; Technology, Innovation & Science",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Leadership in crisis specialist"
Alanna Shaikh,Global Health; Health & Wellbeing,Americas > US,"Speaking fee: $15,000 | Exclusive | Gender: Female | Site tagline: Global Health and Biosecurity Expert"
Alasdair Blackwell,Education - Policy & Practice; Entrepreneurs; Keynote; Science,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Co-founder & CTO, Decoded"
Alastair Campbell,After Dinner; Government & Politics; Keynote,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Tony Blair’s Director of Comms & Strategy"
Alastair Campbell & Rory Stewart,Business; Finance & Markets; Geopolitics; Government & Politics; International Affairs & Security,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: British politicians & hosts of ""The Rest Is Politics"" podcast"
Alastair Humphreys,After Dinner; Inspirational & Motivational; Keynote; Leadership; Sports & Olympics; TED,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Adventurer, Author & Motivational Speaker"
Alastair Lukies,Fintech & Cryptocurrency; Leadership; Workplace innovation,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Pioneer and Champion for UK's Global FinTech Industry"
Alastair Newton,Geopolitics; Government & Politics; Leadership,Africa,"Speaking fee: $15,000 | Gender: Male | Site tagline: British Diplomat & Senior Political Analyst"
Albert Fox Cahn,Cyber Security; Science; Technology Ethics - Regulation,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Keynote speaker on the future of technology and surveillance"
Albert Read,"AI - Emerging Tech; APAC; Business; Business & Leadership; Entertainment; Globalization; Inspirational & Motivational; Leadership; Marketing - Communications; Media; Politics, Government & Global Affairs; Technology, Innovation & Science",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Award-Winning Author & Media Leader"
Alberto Alessi,"Business; Business & Leadership; History, Arts & Literary; Keynote; Society, Culture & Education",Europe > Italy,"Speaking fee: $15,000 | Gender: Male | Site tagline: Acclaimed Industrial Design Manager"
Alden Mills,"Business; Business & Leadership; Entertainment; Entrepreneurs; Health & Wellbeing; Inspirational & Motivational; Leadership; Military; Politics, Government & Global Affairs; Resilience, Wellbeing & Happiness; TED",Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Inc. 500 CEO, former Navy SEAL, Inventor & Bestselling Author"
Aldo Kane,"After Dinner; Entertainment; Inspirational & Motivational; International Affairs & Security; Military; Politics, Government & Global Affairs; Sports & Olympics",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Expedition Leader, Author, Executive Coach & Motivational Speaker"
Aldo Sollazzo,Keynote; Leadership; Science,Europe > Spain,"Speaking fee: $15,000 | Gender: Male | Site tagline: CEO of Noumena"
Aldwin Wight,"Business & Leadership; Entertainment; Geopolitics; Government & Politics; Inspirational & Motivational; International Affairs & Security; Leadership; Military; Politics, Government & Global Affairs",Global,"Speaking fee: $15,000 | Gender: Male | Site tagline: Former Commander of the UK's 22 SAS Regiment"
Alec Leach,Environment & Sustainability; Sustainability - Environment,Europe > Germany,"Speaking fee: $15,000 | Exclusive | Gender: Male | Site tagline: Sustainable fashion expert and critic"
Alec Ross,Business; Government & Politics; Keynote; TED,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: American technology policy expert"
Alejandra Rios,"Business; Business & Leadership; Diversity, Inclusion & Gender Equality; Entrepreneurs; Leadership; Society, Culture & Education; Workplace innovation",Mexico,"Speaking fee: $15,000 | Gender: Female | Site tagline: Executive Chairman at Ambrosia and Shark at Shark Tank México"
Alejandro Cremades,Business; Business & Leadership; Entrepreneurs; Keynote; Leadership,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: World Authority on Entrepreneurship and Fundraising"
Aleks Krotoski,"Keynote; Science; Technology, Innovation & Science",Europe > UK,"Speaking fee: $15,000 | Gender: Female | Site tagline: Social Media & Web Culture Journalist"
Alessandro Hatami,"Business; Business & Leadership; Diversity, Inclusion & Gender Equality; Economic & Financial Affairs; Finance & Markets; Fintech & Cryptocurrency; Keynote; Society, Culture & Education",Europe > UK,"Speaking fee: $15,000 | Exclusive | Gender: Male | Site tagline: Co-founder of Pacemakers.io and fintech expert"
Alev Scott,"Diversity, Inclusion & Gender Equality; Entertainment; Geopolitics; History, Arts & Literary; Keynote; Moderators & Chairpersons; Politics, Government & Global Affairs; Society, Culture & Education",Europe > UK,"Speaking fee: $15,000 | Exclusive | Gender: Female | Site tagline: Journalist for FT, The Guardian & Politico Europe"
Alex Bell,After Dinner; Business; Business & Leadership; Energy; Entertainment; Entrepreneurs; Environment & Sustainability; Global Health; Health & Wellbeing; Keynote; Sustainability - Environment,Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Expert on the Global Water Crisis"
Alex Blackwood,After Dinner; Inspirational & Motivational,Europe > Netherlands,"Speaking fee: $15,000 | Gender: Male | Site tagline: Mind Craft - Speaker & Entertainer, Europe's Premier Mentalist"
Alex Blumberg,Business; Entrepreneurs; Keynote; Moderators & Chairpersons,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Award-Winning Radio Journalist"
Alex Budak,"Business; Business & Leadership; Entertainment; Entrepreneurs; Health & Wellbeing; Keynote; Leadership; Resilience, Wellbeing & Happiness; TED",Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Author, ""Becoming a Changemaker"""
Alex Connock,"AI - Emerging Tech; Business; Business & Leadership; Entertainment; Entrepreneurs; Marketing - Communications; Media; Technology, Innovation & Science",Global,"Speaking fee: $15,000 | Gender: Male | Site tagline: AI, Media & Innovation Expert"
Alex Edmans,"Business; Business & Leadership; Economic & Financial Affairs; Environment & Sustainability; ESG; Finance & Markets; Mathematics and Statistics; Technology, Innovation & Science",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Professor of Finance, London Business School"
Alex George,"Health & Wellbeing; Resilience, Wellbeing & Happiness",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Influential medical voice on TV & social media"
Alex Honnold,After Dinner; Entertainment; Environment & Sustainability; Inspirational & Motivational; Sports & Olympics; Sustainability - Environment; TED,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Most Inspiring Free Solo Climber; First Climber to free solo Yosemite's El Capitan Wall"
Alex Hunter,"Business; Business & Leadership; Entertainment; Entrepreneurs; Inspirational & Motivational; Marketing - Communications; Science; Technology, Innovation & Science",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Global Head of Online Marketing for the Virgin Group"
Alex Kantrowitz,"AI - Emerging Tech; Business & Leadership; Entertainment; Entrepreneurs; Moderators & Chairpersons; Social Media; Society, Culture & Education; Technology, Innovation & Science",Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Speaker on Tech Innovation and the Future of Work"
Alex Mahon,"Business & Leadership; Diversity, Inclusion & Gender Equality; Entertainment; Leadership; Media; Social Media; Society, Culture & Education; Technology, Innovation & Science",Europe > UK > London,"Speaking fee: $15,000 | Gender: Female | Site tagline: First female CEO of Channel 4 (2017–2025)"
Alex O'Brien,Mathematics and Statistics; Science,Europe > UK > London,"Speaking fee: $15,000 | Gender: Female | Site tagline: Vice-Chair of Association of British Science Writers"
Alex Polizzi,Business; Entrepreneurs; Inspirational & Motivational; Leadership,Europe > UK > London,"Speaking fee: $15,000 | Gender: Female | Site tagline: Hotelier and businesswoman"
Alex Ramon,After Dinner; Business; Business & Leadership; Entertainment; Keynote,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: World-Class Illusionist"
Alex Rodriguez,Business; Entrepreneurs; Inspirational & Motivational; Keynote; Leadership; Sports & Olympics,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Chairman & CEO, A-Rod Corp., Entrepreneur & World Series Champion,"
Alex Scott,"Diversity, Inclusion & Gender Equality; Leadership; Sports & Olympics",Europe > UK,"Speaking fee: $15,000 | Gender: Female | Site tagline: Former Captain for Arsenal and England Centurion, football pundit and television presenter"
Alex Staniforth,"Adventure; Entertainment; Health & Wellbeing; Inspirational & Motivational; Resilience, Wellbeing & Happiness; Sports & Olympics",Europe > UK,"Speaking fee: $15,000 | Gender: Male | Site tagline: Record-Breaking Adventurer, Resilience Expert & Charity Founder"
Alexander Cadisch,"History, Arts & Literary; Leadership; Neuroscience; Science; Sustainability - Environment",Europe > UK > London,"Speaking fee: $15,000 | Gender: Male | Site tagline: Performance enhancing design consultant & Sustainability innovator"
Alexander D. Wissner-Gross,"AI - Emerging Tech; Business; Business & Leadership; Cyber Security; Entrepreneurs; Science; Technology, Innovation & Science",Global,"Speaking fee: $15,000 | Gender: Male | Site tagline: Artificial Intelligence, Complex Systems & Advanced Computing Expert"
Alexandra Cousteau,Entrepreneurs; Keynote; Sports & Olympics,Europe > Germany,"Speaking fee: $15,000 | Gender: Female | Site tagline: Explorer & Environmentalist"
Alexandra Daisy Ginsberg,"AI - Emerging Tech; History, Arts & Literary; Keynote; Science; Sustainability - Environment; TED",Europe > UK,"Speaking fee: $15,000 | Gender: Female | Site tagline: Artist and writer"
Alexandra Forsyth,"Cyber Security; Science; Technology, Innovation & Science",Global,"Speaking fee: $15,000 | Gender: Female | Site tagline: Cyber Security Expert"
Alexandra Hall,"Business & Leadership; Entertainment; Government & Politics; History, Arts & Literary; Human Rights; Inspirational & Motivational; International Affairs & Security; Keynote; Leadership; Moderators & Chairpersons; Philanthropy & Ethics; Politics, Government & Global Affairs; Society, Culture & Education",Global,"Speaking fee: $15,000 | Gender: Female | Site tagline: Diplomat, Foreign Policy Analyst & Ethics Advocate"
Alexandra Shulman,"After Dinner; Business; Business & Leadership; Diversity, Inclusion & Gender Equality; Entertainment; History, Arts & Literary; Leadership; Society, Culture & Education",Europe > UK,"Speaking fee: $15,000 | Gender: Female | Site tagline: Vogue Editor UK (1992–2017) - Expert on Fashion, Media and Leadership"
Alexandre Lazarow,Business; Business & Leadership; Economic & Financial Affairs; Entrepreneurs; Finance & Markets; Keynote,Americas > US,"Speaking fee: $15,000 | Gender: Male | Site tagline: Venture Capitalist & Forbes Columnist"
Alexandre Mars,Entrepreneurs; Inspirational & Motivational; Keynote; Leadership; Marketing - Communications; Philanthropy & Ethics,Europe > France,"Speaking fee: $15,000 | Gender: Male | Site tagline: Entrepreneur, Philanthropist, Author, Venture Capitalist, Social Impact Advocate & Public Speaker"
Alexis Conran,"Business & Leadership; Cyber Security; Economic & Financial Affairs; Fraud, Corruption and Corporate Crime; Technology, Innovation & Science",Global,"Speaking fee: $15,000 | New Speaker | Gender: Male | Site tagline: Global Authority on Fraud, Consumer Behaviour and Digital Trust"
Alexis Redding,"AI - Emerging Tech; Business & Leadership; Education - Policy & Practice; Entertainment; Health & Wellbeing; Leadership; Longevity & Lifespan; Psychology; Resilience, Wellbeing & Happiness; Society, Culture & Education; Technology, Innovation & Science; TED; Workplace innovation",Global,"Speaking fee: $15,000 | Gender: Female | Site tagline: Award-Winning Harvard Educator"
